employee_id,week_starting,total_hours,overtime_hours,breached,full_name,id_number,role,primary_site_id,shift_pattern,contract_ordinary_hours,employment_type
E1001,2026-06-08,39.5,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-06-15,40.75,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-06-22,39.75,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-06-29,41.5,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-07-06,38.0,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-07-13,50.0,5.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-07-20,39.75,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-07-27,37.5,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-08-03,51.75,6.75,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1001,2026-08-10,25.75,0.0,False,Mpho Mabaso,040402XXXX000,Cleaner,ST-01,day,45,Fixed-term
E1002,2026-06-08,46.75,1.75,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-06-15,50.0,5.0,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-06-22,35.5,0.0,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-06-29,43.5,0.0,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-07-06,49.75,4.75,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-07-13,37.0,0.0,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-07-20,50.0,5.0,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-07-27,51.5,6.5,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-08-03,51.0,6.0,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1002,2026-08-10,17.75,0.0,False,Xolani Ngcobo,811007XXXX001,Kitchen Assistant,ST-02,day,45,Permanent
E1003,2026-06-08,38.5,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-06-15,44.5,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-06-22,41.5,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-06-29,41.75,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-07-06,43.0,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-07-13,41.0,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-07-20,33.75,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-07-27,38.5,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-08-03,38.75,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1003,2026-08-10,25.5,0.0,False,Portia Mahlangu,840820XXXX002,Cleaner,ST-03,day,45,Permanent
E1004,2026-06-08,37.25,0.0,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-06-15,43.25,0.0,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-06-22,47.75,2.75,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-06-29,45.75,0.75,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-07-06,46.25,1.25,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-07-13,48.25,3.25,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-07-20,46.25,1.25,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-07-27,48.75,3.75,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-08-03,45.75,0.75,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1004,2026-08-10,24.5,0.0,False,Chantal Adams,020310XXXX003,Security Guard,ST-03,night,45,Permanent
E1005,2026-06-08,47.75,2.75,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-06-15,48.0,3.0,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-06-22,48.75,3.75,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-06-29,46.5,1.5,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-07-06,58.5,13.5,True,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-07-13,45.25,0.25,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-07-20,43.25,0.0,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-07-27,46.75,1.75,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-08-03,47.5,2.5,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1005,2026-08-10,27.0,0.0,False,Lerato Mabaso,020903XXXX004,Cleaner,ST-05,day,45,Permanent
E1006,2026-06-08,26.5,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-06-15,44.0,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-06-22,42.75,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-06-29,38.0,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-07-06,43.75,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-07-13,48.25,3.25,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-07-20,38.25,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-07-27,42.25,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-08-03,37.5,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1006,2026-08-10,23.5,0.0,False,Shaun Zulu,020703XXXX005,Security Guard,ST-04,day,45,Fixed-term
E1007,2026-06-08,44.5,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-06-15,43.75,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-06-22,35.75,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-06-29,47.0,2.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-07-06,37.5,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-07-13,42.25,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-07-20,36.5,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-07-27,38.75,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-08-03,35.25,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1007,2026-08-10,12.25,0.0,False,Sibusiso Baloyi,020521XXXX006,Security Guard,ST-06,day,45,Permanent
E1008,2026-06-08,43.5,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-06-15,30.75,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-06-22,30.0,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-06-29,37.5,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-07-06,36.5,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-07-13,42.0,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-07-20,37.5,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-07-27,42.75,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-08-03,36.25,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1008,2026-08-10,12.5,0.0,False,Nadia Fourie,811026XXXX007,Security Guard,ST-03,day,45,Permanent
E1009,2026-06-08,45.0,0.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-06-15,23.25,0.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-06-22,37.5,0.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-06-29,36.5,0.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-07-06,55.0,10.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-07-13,55.5,10.5,True,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-07-20,42.5,0.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-07-27,50.0,5.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-08-03,46.75,1.75,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1009,2026-08-10,0.0,0.0,False,Palesa Sibiya,010515XXXX008,Security Guard,ST-02,day,45,Fixed-term
E1010,2026-06-08,51.75,6.75,False,Charmaine Van Wyk,791220XXXX009,Kitchen Assistant,ST-01,day,45,Fixed-term
E1010,2026-06-15,44.75,0.0,False,Charmaine Van Wyk,791220XXXX009,Kitchen Assistant,ST-01,day,45,Fixed-term
E1010,2026-06-22,38.25,0.0,False,Charmaine Van Wyk,791220XXXX009,Kitchen Assistant,ST-01,day,45,Fixed-term
E1010,2026-06-29,43.75,0.0,False,Charmaine Van Wyk,791220XXXX009,Kitchen Assistant,ST-01,day,45,Fixed-term
